order_id,order_date,customer_name,product,category,region,quantity,price
1001,12-03-2025,Sneha,Laptop,Electronics,South,1,55000
1002,01-06-2025,Sneha,Monitor,Electronics,South,1,11400
1003,01-03-2025,Arjun,Mouse,Accessories,West,2,760
1004,16-06-2025,Asha,Mouse,Accessories,North,2,840
1005,31-05-2025,Meera,Desk,Furniture,North,1,6650
1006,29-03-2025,Anjali,Office Chair,Furniture,South,1,5000
1007,24-01-2025,Amit,Monitor,Electronics,West,1,12000
1008,12-01-2025,Neha,Headphones,Accessories,North,2,2375
1009,22-05-2025,Suresh,Monitor,Electronics,South,1,12000
1010,30-06-2025,Ravi,Mouse,Accessories,West,1,800
1011,01-03-2025,Divya,Monitor,Electronics,South,3,12600
1012,12-06-2025,Rohan,Desk,Furniture,East,3,7000
1013,23-02-2025,Neha,Printer,Electronics,North,2,8550
1014,17-05-2025,Isha,Keyboard,Accessories,South,2,1500
1015,11-03-2025,Manoj,Office Chair,Furniture,South,5,5000
1016,28-02-2025,Amit,Laptop,Electronics,West,3,55000
1017,17-01-2025,Suresh,Headphones,Accessories,South,1,2500
1018,12-04-2025,Karan,Desk,Furniture,West,3,7350
1019,05-02-2025,Vikram,Headphones,Accessories,East,1,2500
1020,30-05-2025,Ravi,Office Chair,Furniture,West,1,5000
1021,24-01-2025,Vikram,Desk,Furniture,East,3,6650
1022,24-06-2025,Vikram,Keyboard,Accessories,East,1,1425
1023,02-06-2025,Suresh,Office Chair,Furniture,South,5,5000
1024,24-06-2025,Asha,Laptop,Electronics,North,2,55000
1025,17-03-2025,Amit,Monitor,Electronics,West,1,12600
1026,09-05-2025,Rahul,Headphones,Accessories,South,3,2375
1027,09-02-2025,Divya,Mouse,Accessories,South,1,800
1028,03-06-2025,Asha,Laptop,Electronics,North,1,52250
1029,20-03-2025,Sneha,Printer,Electronics,South,1,9000
1030,22-01-2025,Ravi,Monitor,Electronics,West,2,11400
1031,02-02-2025,Asha,Keyboard,Accessories,North,2,1500
1032,24-02-2025,Rohan,Office Chair,Furniture,East,4,5000
1033,21-06-2025,Divya,Office Chair,Furniture,South,2,5250
1034,31-01-2025,Nitin,Desk,Furniture,North,1,6650
1035,31-05-2025,Amit,Laptop,Electronics,West,2,55000
1036,11-06-2025,Rahul,Monitor,Electronics,South,1,11400
1037,19-01-2025,Priya,Printer,Electronics,North,2,9000
1038,19-05-2025,Pooja,Mouse,Accessories,West,1,840
1039,15-04-2025,Meera,Desk,Furniture,North,1,6650
1040,19-04-2025,Kavya,Printer,Electronics,South,1,8550
1041,14-04-2025,Sneha,Laptop,Electronics,South,2,52250
1042,18-02-2025,Meera,Mouse,Accessories,North,2,800
1043,13-03-2025,Kavya,Keyboard,Accessories,South,2,1425
1044,13-01-2025,Manoj,Monitor,Electronics,South,2,11400
1045,12-02-2025,Arjun,Mouse,Accessories,West,1,840
